sample_name	x	y
A014-C-001	309	371
A014-C-002	229	338
A014-C-003	205	307
A014-C-004	257	362
A014-C-005	244	342
A014-C-006	166	357
A014-C-007	70	 357
A014-C-008	131	309
A014-C-009	144	408
A014-C-010	109	392
A014-C-011	135	327
A014-C-012	113	314
A014-C-013	519	373
A014-C-014	403	394
A014-C-016	551	392
A014-C-017	458	323
A014-C-018	371	394
A014-C-019	224	312
A014-C-020	187	305
A014-C-021	281	366
A014-C-022	296	381
A014-C-023	355	384
A014-C-024	499	368
A014-C-025	584	307
A014-C-026	549	368
A014-C-027	497	325
A014-C-028	70	 320
A014-C-029	102	320
A014-C-030	131	373
A014-C-031	168	294
A014-C-032	155	307
A014-C-033	94	 342
A014-C-034	122	384
A014-C-035	150	388
A014-C-037	196	364
A014-C-038	185	336
A014-C-039	270	325
A014-C-040	268	379
A014-C-041	323	364
A014-C-042	414	340
A014-C-043	338	388
A014-C-044	394	412
A014-C-045	434	399
A014-C-046	419	381
A014-C-047	501	390
A014-C-048	578	381
A014-C-049	606	333
A014-C-050	626	303
A014-C-051	303	333
A014-C-052	207	329
A014-C-053	329	353
A014-C-054	295	360
A014-C-055	386	373
A014-C-056	479	371
A014-C-101	721	288
A014-C-102	789	238
A014-C-103	905	226
A014-C-104	789	214
A014-C-105	848	203
A014-C-106	724	251
A014-C-107	769	233
A014-C-108	785	288
A014-C-109	1005	277
A014-C-110	721	312
A014-C-111	789	264
A014-C-112	835	268
A014-C-113	904	248
A014-C-114	930	235
A014-C-115	1146	279
A014-C-201	1197	296
A014-C-202	1245	277
A014-C-203	1278	300
A014-C-204	1303	312
A014-C-205	1343	331
A014-C-206	1386	349
